num, numformat, bitwidth, exp_bits, mantissa_bits, quant_en, qbits, accuracy, top1conf, top2diff, ave_loss
1, block_fp, 16, 7, 8, False, -1, 76.068000, 66.679897, 61.846985, 0.962287
2, block_fp, 16, 3, 12, False, -1, 0.100000, 0.000763, 0.000036, 7.172222
3, block_fp, 16, 5, 10, False, -1, 76.162000, 66.741790, 61.890399, 0.961612
4, block_fp, 16, 4, 11, False, -1, 76.086000, 66.641800, 61.793733, 0.966010
5, block_fp, 8, 3, 4, False, -1, 0.100000, 0.000766, 0.000025, 7.172023
6, block_fp, 8, 5, 2, False, -1, 0.122000, 0.039505, 0.023109, 12.825209
7, block_fp, 8, 6, 1, False, -1, 0.102000, 0.005633, 0.001993, 7.370490
8, block_fp, 12, 5, 6, False, -1, 75.680000, 66.147312, 61.274815, 0.978041
9, block_fp, 12, 2, 9, False, -1, 0.100000, 0.000851, 0.000064, 7.082119
10, block_fp, 12, 3, 8, False, -1, 0.100000, 0.000762, 0.000036, 7.172331
11, block_fp, 10, 4, 5, False, -1, 73.250000, 63.355688, 58.456752, 1.079165
12, block_fp, 10, 6, 3, False, -1, 1.764000, 0.833399, 0.652341, 8.870678
13, block_fp, 10, 7, 2, False, -1, 0.122000, 0.039505, 0.023109, 12.828887
14, block_fp, 11, 5, 5, False, -1, 73.172000, 63.259921, 58.364781, 1.074332
15, block_fp, 11, 7, 3, False, -1, 1.774000, 0.845774, 0.676584, 8.857508
16, block_fp, 11, 8, 2, False, -1, 0.122000, 0.039505, 0.023109, 12.828887
